data set, time, x, y, pollution
1, 10:30:45, 205.66256, 553.083565, 11150.00
1, 10:30:45, 205.77375, 548.524573, 11150.00
1, 10:30:46, 205.77375, 548.524573, 11102.60
1, 10:30:46, 205.99614, 44.1879709, 11102.60
1, 10:30:47, 205.99614, 44.1879709, 11071.40
1, 10:30:47, 205.99614, 540.296148, 11071.40
1, 10:30:48, 205.99614, 540.296148, 11034.10
1, 10:30:48, 206.10734, 537.071495, 11034.10
1, 10:30:49, 206.10734, 537.071495, 10997.40
1, 10:30:49, 205.99614, 534.291622, 10997.40
1, 10:30:50, 205.99614, 534.291622, 10981.70
1, 10:30:50, 205.55136, 531.845334, 10981.70
1, 10:30:51, 205.55136, 531.845334, 10967.60
1, 10:30:51, 204.55061, 529.843825, 10967.60
1, 10:30:52, 204.55061, 529.843825, 10935.70
1, 10:30:52, 203.32746, 528.509486, 10935.70
1, 10:30:53, 203.32746, 528.509486, 10891.00
1, 10:30:53, 202.32671, 7.84231678, 10891.00
1, 10:30:54, 202.32671, 7.84231678, 10819.50
1, 10:30:54, 201.32596, 527.508732, 10819.50
1, 10:30:55, 201.32596, 527.508732, 10729.90
1, 10:30:55, 200.32520, 527.397537, 10729.90
1, 10:30:56, 200.32520, 527.397537, 10657.30
1, 10:30:56, 199.21325, 527.286342, 10657.30
1, 10:30:57, 199.21325, 527.286342, 10608.20
1, 10:30:57, 197.65652, 527.175147, 10608.20
1, 10:30:58, 197.65652, 527.175147, 10577.40
1, 10:30:58, 195.65501, 526.952757, 10577.40
1, 10:30:59, 195.65501, 526.952757, 10570.60
1, 10:30:59, 193.20873, 526.841562, 10570.60
1, 10:31:00, 193.20873, 526.841562, 10563.10
1, 10:31:00, 190.42885, 26.7303675, 10563.10
1, 10:31:01, 190.42885, 26.7303675, 10557.20
1, 10:31:01, 187.53779, 26.6191725, 10557.20
1, 10:31:02, 187.53779, 26.6191725, 10565.20
1, 10:31:02, 184.20194, 526.619172, 10565.20
1, 10:31:03, 184.20194, 526.619172, 10566.20
1, 10:31:03, 180.86609, 526.619172, 10566.20
1, 10:31:04, 180.86609, 526.619172, 10567.00
1, 10:31:04, 177.30785, 526.841562, 10567.00
1, 10:31:05, 177.30785, 526.841562, 10591.00
1, 10:31:05, 173.97200, 527.286342, 10591.00
1, 10:31:06, 173.97200, 527.286342, 10608.40
1, 10:31:06, 170.74735, 527.842316, 10608.40
1, 10:31:07, 170.74735, 527.842316, 10607.10
1, 10:31:07, 167.85628, 528.620681, 10607.10
1, 10:31:08, 167.85628, 528.620681, 10614.40
1, 10:31:08, 165.07641, 529.732630, 10614.40
1, 10:31:09, 165.07641, 529.732630, 10609.90
1, 10:31:09, 162.40773, 530.733384, 10609.90
1, 10:31:10, 162.40773, 530.733384, 10591.50
1, 10:31:10, 159.73905, 531.622944, 10591.50
1, 10:31:11, 159.73905, 531.622944, 10571.90
1, 10:31:11, 156.95918, 531.956529, 10571.90
1, 10:31:12, 156.95918, 531.956529, 10547.00
1, 10:31:12, 154.17931, 531.845334, 10547.00
1, 10:31:13, 154.17931, 531.845334, 10522.20
1, 10:31:13, 151.62182, 531.400554, 10522.20
1, 10:31:14, 151.62182, 531.400554, 10531.00
